feature,coefficient,points
num__gleason_score_numeric,0.6684733530908561,4
cat__pathologic_t_T2b,-0.5516962631496192,-3
cat__pathologic_t_T2c,-0.49160216857260186,-3
num__expr_CHEK2,0.4173629779510504,2
num__expr_KLK3,0.3942281883603224,2
num__expr_FOXA1,-0.3927244103143604,-2
cat__pathologic_t_T3a,0.3890434570179922,2
num__psa_value_numeric,0.379711899310454,2
cat__pathologic_t_T3b,0.35876229049429204,2
num__expr_ATM,0.2255459452865334,1
num__expr_NKX3-1,-0.21720893754676984,-1
num__expr_PTEN,0.1808748811067733,1
cat__pathologic_t_T4,0.1628468166681744,1
cat__pathologic_t_T2a,0.12610963186055202,1
num__expr_BRCA2,-0.12337946078246373,-1
num__expr_TP53,0.11856332192943751,1
num__expr_BRCA1,0.09561097033052386,1
num__expr_SPOP,-0.07604592999724732,0
num__expr_ERG,-0.07450999466590563,0
num__expr_AR,0.06672304977821372,0
num__age_at_diagnosis_years,-0.05449921330787219,0
num__expr_MYC,-0.023393084880837085,0
cat__pathologic_n_N0,-0.015583594439900782,0
cat__pathologic_n_N1,0.009047358758692205,0
