variable,missing_fraction,nonmissing_n
submitter_id,0.0,314
project_id,0.0,314
sex,0.0,314
vital_status,0.0,314
days_to_death,0.9872611464968153,4
days_to_last_followup,0.6847133757961783,99
age_at_diagnosis_raw,0.0,314
pathologic_stage,1.0,0
pathologic_t,0.01592356687898089,309
pathologic_n,0.16878980891719744,261
pathologic_m,1.0,0
histologic_grade,1.0,0
primary_site,1.0,0
smoking_history,1.0,0
gleason_score,0.0,314
age_at_diagnosis_years,0.0,314
event_death,0.0,314
overall_survival_days,0.6751592356687898,102
